token_age_b,transfers,transactions,buys_m5,sells_m5,buys_h1,sells_h1,volume_m5,volume_h1,price_change_m5,price_change_h1,price_change_h6,price_change_h24,liquidity,market_cap,is_mutable_metadata,is_telegram,is_twitter,is_website,boosts,telegram_members,twitter_days,twitter_tweets,twitter_followers,twitter_smart_followers,sns_held_all,sns_sold_some,sns_sold_all,PNL,profit,sns_most_common,sns_most_common_except_0,tt_f10_bought,tt_f10_sold,sns_f10_bought,sns_f10_sold,sns_no_bought,sns_no_sold,tt_no_bought,tt_no_sold,sns_pnl_loss,tt_pnl_loss
9.55,0.0,1249.0,330.0,269.0,765.0,484.0,632923.93,1661353.89,102.0,231.0,231.0,231.0,253426.58,4069246.0,0,0,0,0,0,0,0,0,0,0,30,4,66,-41.16,0,0.1,0.1,4317.0,642530.0,287435.01999999996,30069.0,3,30,98,0,42,0
48.57,0.0,2437.0,0.0,1.0,1275.0,1162.0,6.22,309366.32,-0.38,-95.16,-95.16,-95.16,8756.1,4796.0,0,0,0,0,0,0,0,0,0,0,12,14,74,2.38,0,0.0,23.0,7976.0,77154.0,17430.930000000004,33271.840000000004,13,13,57,0,22,0
2.67,0.0,173.0,116.0,57.0,116.0,57.0,134691.07,134691.07,124713.0,124713.0,124713.0,124713.0,118997.82,144314611.0,1,0,0,0,0,0,0,0,0,0,72,9,19,-32.58,0,0.1,0.1,17360.449999999997,61427.68,94751.45000000007,61427.68,13,72,13,72,14,14
22.66,0.0,384.0,203.0,181.0,203.0,181.0,233655.13,233655.13,10.29,10.29,10.29,10.29,13740.37,146832.0,0,0,0,0,0,0,0,0,0,0,20,1,55,-39.82,0,0.1,0.1,144737.79,144178.82,144737.79,144154.82,2,20,2,19,55,55
2.56,0.0,189.0,136.0,53.0,136.0,53.0,146615.58,146615.58,162319.0,162319.0,162319.0,162319.0,135992.9,188020276.0,1,0,0,0,0,0,0,0,0,0,77,4,19,-64.63,0,0.1,0.1,14196.289999999997,58531.75,96321.88000000008,53775.26,12,77,15,71,9,11
2.74,0.0,402.0,266.0,136.0,266.0,136.0,48845.63,48845.63,36.24,36.24,36.24,36.24,43720.18,123158.0,0,0,0,0,0,0,0,0,0,0,71,9,20,-45.51,0,23.0,23.0,2825.0,24391.0,13253.370000000003,14846.8,8,71,74,0,8,0
3.53,0.0,40.0,34.0,6.0,34.0,6.0,2361.15,2361.15,221.0,221.0,221.0,221.0,4290.48,4098.0,0,0,0,0,0,0,0,0,0,0,26,7,0,-20.62,0,2.35,2.35,1725.0300000000002,712.62,1722.6799999999998,712.62,0,26,0,27,2,2
2.01,0.0,178.0,119.0,59.0,119.0,59.0,137283.37,137283.37,118270.0,118270.0,118270.0,118270.0,115591.03,136435327.0,1,0,0,0,0,0,0,0,0,0,77,2,21,64.15,1,0.1,0.1,15513.29,62277.89,95620.68000000008,45168.07,14,77,16,73,6,9
2.98,0.0,16.0,14.0,2.0,14.0,2.0,900.4,900.4,9.83,9.83,9.83,9.83,5282.61,2770.0,0,0,0,0,0,0,0,0,0,0,11,1,2,65.7,1,2.35,2.35,509.71000000000015,421.0,509.71000000000004,421.0,0,11,0,11,2,2
2.49,0.0,79.0,59.0,20.0,59.0,20.0,9652.76,9652.76,7.39,7.39,7.39,7.39,41364.75,113797.0,0,1,1,1,10,33,0,0,0,0,50,1,32,-27.83,0,0.0,0.1,5373.499999999998,7774.820000000001,5373.5,6525.639999999999,22,50,24,48,4,6
